tweet,sentiment
Whoosh Catatkan Trafik Tertinggi Tembus 22.249 Penumpang https://t.co/NidHqWJiEx,positive
Pada periode 14 Juni sampai 7 Juli 2024 jumlah tiket Whoosh yang telah terjual mencapai 350.000. https://t.co/3hSKbtRgxL,positive
Mulai bulan Juni 2024 PT. KCIC menghadirkan Frequent Whoosher Card untuk pengguna Whoosh yang ingin ongkos perjalanan lebih hemat. https://t.co/xJK3XLz8KZ,positive
Libur Sekolah Kerek Penumpang Whoosh Hingga Pecah Rekor https://t.co/EGJkaqo8cY,positive
Sosialisasi Efektif Gangguan Layang-Layang di Jalur Kereta Cepat Whoosh Berkurang Signifikan https://t.co/MEUDRC1Aqy,positive
Liburan ke luar kota sekarang jadi makin mudah karena kamu bisa pesan dan langsung bayar tiket berbagai moda transportasi di BRImo! Kamu bisa beli tiket pesawat kereta api bus dan shuttle hingga Whoosh dalam satu aplikasi. #Jeda https://t.co/GM1nIphTBf,positive
@millkttae seru bgt naik whoosh,positive
PT Kereta Cepat Indonesia China (KCIC) tercatat telah menjual 350 ribu tiket Whoosh selama libur sekolah. #bisnisupdate #update #bisnis #text https://t.co/XeUDlgvmNM,positive
Awas Kehabisan! 350 Ribu Tiket Whoosh di Musim Liburan Sudah Ludes Terjual https://t.co/6fe3zE8DDk,positive
Whoosh Pecahkan Rekor Jumlah Penumpang Terbanyak Selama Beroperasi https://t.co/Q6ZWbmJDtr #beritasatu #news #berita,positive
Rekor Pecah Lonjakan Penumpang Whoosh Menggemparkan Ini Penyebabnya https://t.co/YKioGKhYeX #rekor #pecah #lonjakan #whoosh,positive
Kereta Cepat Whoosh jual tiket mulai Rp 150 ribu di jam tidak sibuk dengan dynamic pricing PT KCIC akan menjual tiket Kereta Cepat Whoosh mulai Rp 150 ribu di luar jam sibuk. Tiket akan dibanderol mulai dari Rp 150.000 Rp 175.000 Rp 200.000 Rp 225.000 hingga Rp 250.000. https://t.co/vYxtkZvVrL,positive
What a weekend - Art date pacaran di pameran seni sama seniman dan karyanya - Kasih materi #SabtuTableau di galeri seni - Di Bandung paginya di Jakarta sorenya melaju pake Whoosh - Phunktion sekaligus foto-foto sama #dnb legend anjer gila sih - Kirim proposal project (not mine https://t.co/QIM8LtustG,positive
Persiapan 72 masinis lokal yg akan gantikan masinis impor Whoosh. Mereka dipilih krn sdh berpengalaman minimal 100 ribu km/3.000 jam di ka konven. Selain bljr teori di PPI Madiun mrk jg praktek di Depo sprt ikut langsir emu kereta inspeksi biar hafal jalur dan simulator https://t.co/JJAMnxYxxV,positive
KCIC: Anggota DPR sering gunakan Kereta Cepat Whoosh Direktur utama PT KCIC Dwiyana Slamet Riyadi menyampaikan bahwa anggota DPR RI sering menggunakan Kereta Cepat Whoosh. Bahkan ada yang menggunakan Whoosh hingga 2 atau 3 kali sehari. Namun tidak setiap hari anggota DPR https://t.co/BpUTZQmha8,positive
Menunggu kereta Whoosh. Seru juga. https://t.co/L6r3r7UokQ,positive
Jadi inget momen pas jaga pameran miniatur lokomotif D52 di Stasiun Bandung kemaren (Nov-Des 2023). Pemantauan di Stasiun Bandung banyak sekali penumpang Whoosh yang PP Jakarta Bandung hanya untuk kulineran di Bandung terus pulang ke Jakarta sebelum gelap kayak ibu2 ini https://t.co/7kZhQCg6FB,positive
Replika Kereta Cepat Whoosh kini hadir di Bogowonto Culinary Center Madiun! Tidak hanya kereta dari PT INKA Bogowonto Culinary Center kini dilengkapi dengan replika Kereta Cepat Whoosh. Replika ini diletakkan di atas unit KRL Holec dengan disangga dua tiang jalur layang . https://t.co/ynIMvDyJMR,positive
Jadi juga Bandung punya Imax. Ke sininya naik Whoosh dari Jakarta lebih cepet daripada dari tengah Bandung ke sini https://t.co/cYfy9d5upm,positive
 Super speed 350 km/jam Whoosh di Deltamas Cikarang Hari Sabtu (6/1) mimin Tokyu 8500 kembali menaiki Kereta Cepat Whoosh lintas Halim - Tegalluar. KRL Komodo Dragon KCIC400AF yang digunakan Whoosh mencapai kecepatan tertinggi 350 km/jam di sekitar Deltamas Cikarang hingga https://t.co/eyWTO4v3zh,positive
Whoosh promo ternyata!!! Bandung gak si...,positive
Siap Jadi Keluarga KCIC?! Cek Detail Caption! Halo Sobat #Whoosh! Kalian pastinya sudah tau dong kalau Whoosh adalah Kereta Cepat Pertama di Asia Tenggara?! KCIC adalah perusahaan yang bergerak di bidang jasa transportasi khususnya pada Proyek Kereta Cepat Whoosh. https://t.co/0FIv6s2A8M,positive
Minat Kerja di Kereta Cepat Whoosh? KCIC Buka Segudang Lowongan Kerja di 2024 Begini Cara Lamarnya https://t.co/noFslLVUWr,positive
Ada Segudang Lowongan Kerja Kereta Cepat Whoosh untuk Lulusan Minimal D3 Fresh Graduate Bisa Daftar https://t.co/gIHIiWl8Dj,positive
Kembali bersama whoosh ya emang enak sih buat ngejer waktu nyambung lrt. https://t.co/certH0lwL5,positive
Nih fakta kalo pada peak hour dan peak day Whoosh tetap penuh om @reinharthrm https://t.co/Ab94Ap5vd4,positive
Turun Jadi Rp150 Ribuan Begini Cara Beli Tiket Kereta Cepat Whoosh Bulan Depan https://t.co/Rc9yXP3Csi,positive
Mulai 3 Februari Harga Tiket KCJB Whoosh Berubah Jadi Lebih Murah! Cek Daftar Harganya di Sini https://t.co/gpgmVq0cIg,positive
VIDEO: Skema Tarif Dinamis Kereta Cepat Whoosh Berlaku Mulai 3 Februari 2024 Bisa Lebih Hemat! https://t.co/jWBFg6PeRo,positive
@akuluthfi ada memang. Sekarang kantor2/instansi juga jadi langganan Whoosh karena kalo ada meeting bisa PP Bdg - Jakarta dengan cepat. 1:20 PP vs 6 jam atuh.,positive
Penumpang Kereta Cepat Whoosh Bisa Dapat Tarif Hemat Mulai Rp150.000 Cek Jadwalnya https://t.co/E9Lyn4Wzy4,positive
Skema Tiket Dinamis Akan Berlaku Naik Whoosh Bisa Hanya Rp 150 Ribu https://t.co/AHr3BicFXc,positive
Tiket Kereta Cepat Whoosh Turun Harga Mulai Februari Begini Cara Beli https://t.co/9NSW6ITpi0,positive
Tarif Dinamis Kereta Cepat Whoosh Murah Banget Mulai Rp150 Ribu https://t.co/JwYx6ggEcJ,positive
Bagus ini skemanya. Bisa ditiru oleh DKI Jakarta sebagai Pelanggan yang paling banyak menggunakan Transportasi Publik. Untuk Luar Kota skema terusan atau member ini juga bisa digunakan untuk pelanggan Whoosh. Dulu di Singapore (sebelum Covid) ada Pass untuk turis 3 hari $3.,positive
Seiring perkembangannya kereta cepat Whoosh kini Stasiun Kereta Cepat Halim menyediakan parkir inap untuk kendaraan. Cek tarifnya di sini! https://t.co/6wgc32oHpP,positive
Jadi gini di 1/4 perjalanan gue ke Soehat naik travel dikabarin Mas! Dompet ketinggalan! Langsung cari jalan lain. Ngirim sbg paket gak diterima juga takut gak keburu kena macet peak hour. Jadinya dianter naik Whoosh + Damri. Cepat tepat lancar https://t.co/sxPm3QgQ2p,positive
Beginilah punya anak railfans. Pergi ke Jakarta naik Whoosh pulang ke Bandung bisa naik apa aja. Sekarang naik KA Serayu Adu Dengkul. Yang penting kereta https://t.co/vRjYKPBSXK,positive
yaelah Bandung Jatinangor doang mah gw jabanin pake whoosh i ve been worse (Tokyo - Jakarta) KWKWKWK https://t.co/1ITqagvvtT,positive
PT Kereta Cepat Indonesia China (KCIC) menggelar atraksi barongsai di Kereta Cepat Whoosh untuk merayakan Tahun Baru Imlek Sabtu (10/2/2024). Penumpang yang turun dari Whoosh disambut oleh barongsai yang menari-nari. Apakah kalian melihat atraksi barongsai ini juga Friends? https://t.co/2yuDXwuNEF,positive
Untuk meningkatkan frekuensi kereta api mengurangi kecelakaan dan mengurangi kemacetan di perlintasan Direktorat Jenderal Perkeretaapian (DJKA) membangun flyover di dekat Stasiun Ciroyom Kota Bandung. Flyover ini dibangun untuk mendukung Kereta Cepat Whoosh dan KRL Bandung https://t.co/O0ngyF92PV,positive
Si Sulung kalo ke kantor di Mega Kuningan sekarang cukup berangkat ke Stasiun Bandung jam 7 pagi naik feeder jam 7.12 naik Whoosh 7.47 sampai Halim 8.17 sambung LRT 20 menit sampailah di kantornya jam 8.40-an. Gak perlu lagi ngejar kereta jam 5 terus tidur di kereta 2 5 jam.,positive
WOW PANTESAN !! REKOR BARU WHOOSH!! ,positive
Betul sekali om. Tadinya dia sewa apartemen di daerah Kuningan yang jelas harga sewanya perbulan diatas 5 juta. Belum makan dsb. Banyak mudharatnya pula pisah rumah Suami - Istri - Anak. Akhirnya sejak ada Whoosh jadi commute Jkt - BDg tiap hari gini https://t.co/SmsqV9OShb,positive
whoosh sestabil ini dan secepet ituuu jkt bdg cuma 25 menit https://t.co/c4StZImGb5,positive
KC Whoosh hari ini dari Jkt-bdg penuh dan tiket seharian hampir sold out. Bandung bakal rame pisan ini https://t.co/aejcHflMw8,positive
Tapi gue akhirnya merasakan manfat Whoosh. Nanti gue cerita.,positive
Setelah adanya Kereta Cepat Whoosh KRDE Feeder Whoosh hadir untuk mengantar penumpang dari Bandung Hall dan Cimahi yang akan menuju ke Padalarang. Jadwal kereta feeder ini menyesuaikan dengan Kereta Cepat Whoosh. Dalam jangka panjang lintas KA Padalarang - Bandung - Cicalengka https://t.co/8nSApHdXXh,positive
travel buang buang waktu banget huhuhu aku 4ever whoosh aja ,positive
Lamaan ke tgr drpd naik whoosh ke bdg ,positive
Kereta Cepat WHOOSH Sediakan Layanan Penumpang Berkebutuhan Khusus https://t.co/y9dlewbGns,positive
Ijin Kantornya yang SUsah kalau ke Bandung kan tinggal ijin makan siang terus naik Whoosh dari Halim pulang hari. ,positive
@hyvaikal mun naik gopar mah cape kang berarti kurang lebih 6 jam PP di perjalanan.. pake Whoosh mah banyak tenaga dan waktu yg bisa dihemat ,positive
Kalau membaca pertanda adanya jalan Tol kereta cepat whoosh IKN menandakan akan datangnya masa percepatan Indonesia Emas ( itu yg kita harapkan ) yg kita saksikan semua dipercepat dari usia proses pencapresan sampai proses penganggaran program maksi gratis.,positive
@abuasori Jakarta-Bandung saya akan coba Whoosh. Bandung-Jakarta sedang mempertimbangkan beberapa pilihan transportasi. Sebab sesampai di Jakarta saya sebenarnya cuma perlu ke bandara lalu terbang pulang.,positive
Masyarakat Berkebutuhan Khusus Tetap Dapat Naik Whoosh Ini Layanan yang Disediakan KCIC https://t.co/1Vf1yaWO8M,positive
Banyak bule datang ke Indonesia demi menjelajahi kuliner populer. Salah satunya bule ini yang naik kereta cepat demi kulineran di Bandung. https://t.co/qVGwSNl5Ag,positive
Gwa kan hari ini ke jkt naek whoosh bawa mobil dari rumah parkir di st padalarang. Ternyata sini banyak mobil mevvah parkir juga kayaknya mereka daytrip bdg jkt pp (or nginep) Dateng - parkir - 30 menit sampe jkt - kerja/urusan - balik 30 menit - nyetir ke rumah. Enak juga sih https://t.co/oFS0mjyF4N,positive
Melesat ke tempat pertama! Whoosh jadi kereta paling cepat di seluruh Asia Tenggara. Kereta yang menghubungkan Jakarta-Bandung ini memiliki kecepatan operasional hingga 350 km/jam. ------------------------------------------------------------------ https://t.co/0JcPmDNvCv,positive
Yeay naik whoosh ke Bandung https://t.co/ElneBIgTTa,positive
Suka banget naik whoosh https://t.co/qiReXsivZm,positive
Kereta Cepat Whoosh menorehkan pencapaian dengan berhasil layani 2 juta penumpang. Hal ini tercapai lewat berbagai upaya dan inovasi yang dilakukan KCIC. https://t.co/jfe2PMrhwZ,positive
Rejeki banget dia dapet subsidi Whoosh ,positive
iya dan yang PP naik Whoosh Jakarta - Bandung nyampe rumah lebih cepet dari yang naik KRL jakarta Bogor ,positive
WAAH KABAR BAIK INI BUAT PARA PENUMPANG WHOOSH!!! ,positive
Nah ini keputusan bijak dari perusahaan ... cc boss Whoosh @EmirMonti,positive
Teler bgt buset hari ini jakarta-bogor-bandung . Tp jkt-bdg naik whoosh ditempuh 30 menit an sangat efisien waktu si,positive
Libur Panjang Nyepi KCIC Catat Penumpang Whoosh Naik 20% https://t.co/Wx4qeTPmpx,positive
Untuk mengakomodir peningkatan jumlah penumpang KCIC mengoperasikan empat perjalanan KA tambahan sehingga dijalankan sebanyak total 44 perjalanan Whoosh di periode libur panjang sejak Jumat 8 Maret hingga Selasa 12 Maret. https://t.co/BCLCkSsrEb,positive
Makanya tiap kali naik MRT dan Whoosh saya selalu bersyukur ada Jepang dan China dalam proyek itu.. Pilarnya aja presisi. Barangnya bagus.,positive
@hejbew @istanagg @Dennaaja_ Ada om saya kenal orangnya. Tadinya dia sewa apartemen di daerah Kebon Kacang sekitar 5-6 jutaan sebulan. Dapur jadi 2 karena keluarganya tetep di Bandung. Akhirnya sejak ada Whoosh dia milih PP Bdg - Jakarta. Gak perlu sewa a,positive
Penumpang kereta cepat Whoosh diprediksi akan meningkat saat libur Lebaran. Didominasi oleh wisatawan bukan pemudik. https://t.co/QSyYoeAGmZ #Metro #AdadiKompas,positive
Jelang Lebaran 2024 penumpang @KeretaCepatID diprediksi akan meningkat dan didominasi oleh wisatawan bukan pemudik. Baca di sini https://t.co/I6pPL9lUmq #KilauRamadhan #AdadiKompas,positive
Mau gak percaya tp beneran ada. Tetangga di Bdg anaknya gawenya di Menteng dari senin s.d kamis P.P dr Bdg pegi pagi-Jkt plgnya mlm pake Whoosh. Udh dari akhir Januari 2024. Edan! dpt biaya ganti transport 550rb/hari. Ini sih kantornya yg edan!,positive
PT Kereta Cepat Indonesia-China (KCIC) mencatat sebanyak 225 ribu penumpang telah menggunakan kereta cepat Whoosh pada masa Lebaran 2024. Manager Corpororate Communications PT KCIC Emir Monti menapresiasi tingginya minat masyarakat yang menjadikan Whoosh sebagai pilihan utama https://t.co/KQvTSm50Mq,positive
Tingginya minat masyarakat untuk menggunakan Kereta Cepat Whoosh di arus balik Lebaran 1445 H membuat layanan Feeder Bandung Hall - Padalarang padat Senin malam (15/4). Feeder ini menggunakan KRDE INKA ME204 yang didesain sebagai kereta komuter. Salah satu J5Friend menggunakan https://t.co/sy0k5555u3,positive
@Lenny_diary Tips menikmati pop mie di Whoosh : 1. Cek in 2. Masuk Whoosh 3. Kereta gerak 4. Langsung ke resto 5. Pesan pop mie seduh. 6. Jalan balik ke kursi pilih gerbong paling jauh dari resto 7. Sebarkan wangi popmie ke seluruh penumpang Whoosh yg and,positive
Sekarang semoga kalian percaya pada cerita saya dulu jika memang ada orang Bandung yang Commuter pake Whoosh tiap hari Jakarta - Bandung. Ini ada satu bukti lagi.,positive
Setelah sukses di Whoosh mungkin yang dari Jakarta ke Surabaya bakal dinamain Whiish. Hehe. Gimana nih menurut kalian? Share pendapat kalian di kolom komentar ya! #keretacepat #jakartasurabaya #tiongkok #jokowi #luhutpandjaitan #wangyi #infografis #pinterpolitik https://t.co/r9ow00oQUm,positive
Weekdays bukan peak hours tapi penumpang nya full whoosh. https://t.co/QYWIYABAu8,positive
Bukan hanya KAJJ Whoosh CL sampai LRT Jabodebek pun diserbu penumpang selama periode angkutan lebaran Whoosh: 222.309 penumpang LRT Jabodebek: 255.428 pax Commuter Line: 20.944.000 pax KA Makassar-Parepare= 9.475 pax https://t.co/zxMittxwZO,positive
Bagi temen2 yang penasaran kenapa Whoosh sangat stabil dan nyaris tidak ada goncangan ketika berjalan dengan kecepatan 300-an km per jam silakan simak utas penjelasannya di bawah ini :,positive
KCIC pastikan operasional Whoosh normal pascagempa berkekuatan magnitudo 6 2 https://t.co/0izSr8c6Sg https://t.co/2QD7Nf8pqV,positive
Bule Inggris Coba Naik Kereta Cepat Whoosh: Lebih Bagus dari UK https://t.co/liYSNNuQNU,positive
KCIC Pastikan Operasional Whoosh Tidak Terganggu Gempa Garut 6 5 M https://t.co/rs1PoaZm7B https://t.co/EH5EIrELdU,positive
Since we got Whoosh mempertimbangkan untuk kuliah di Bandung sabi kali ya. Bandung beneran gaes bukan Jatinangor yes ,positive
Viral Kondektur Kereta Cepat Whoosh Temukan Amplop Penumpang Berisi Uang Rp50 Juta: Amplop berisi uang Rp 50 juta milik penumpang kereta cepat whoosh tertinggal saat melakukan perjalanan dari stasiun Halim ke Tegal Luar Bandung. Beruntung amplop yang https://t.co/IrVFOVHMb6 https://t.co/zxjmMFEYPY,positive
KCIC pastikan operasional Whoosh normal pascagempa berkekuatan M 6 2 https://t.co/pbHyPBHqEh,positive
Pasca Gempa Magnitudo 6 5 KCIC Pastikan Operasional Whoosh Normal Infrastruktur kereta cepat Whoosh tetap andal sebab disiapkan hingga guncangan gempa magnitudo 8. https://t.co/cQjLtdxcjY,positive
Stasiun Karawang Berperan Pastikan Kelancaran Perjalanan Whoosh Sejak diresmikan pada Oktober 2023 Stasiun Karawang saat ini memiliki fungsi untuk memastikan perjalanan kereta cepat Whoosh menuju Halim dan Tegalluar dalam kondisi aman. https://t.co/3ozgUabx9I,positive
Pasca Gempa di Garut Sensor Khusus Kereta Cepat Whoosh Beri Sinyal Peringatan https://t.co/cH7nxOh01s,positive
Meski Belum Dibuka Stasiun KCIC Karawang Saat ini Punya Peran Besar untuk Kelancaran Perjalanan Whoosh https://t.co/4wqH2bHBto,positive
Saat Libur Lebaran Penumpang Kereta Cepat Whoosh Naik 30 Persen https://t.co/CIKkiOgxls,positive
KCIC pastikan operasional Whoosh normal pascagempa berkekuatan M 6 2 https://t.co/tM7tZqQk63,positive
@C_D3pp Kereta Cepat Whoosh didesain dan diproduksi sebaik mungkin untuk memberikan pelayanan terbaik kepada seluruh penumpang. KCIC berkomitmen untuk terus menyediakan layanan yang prima dan optimal kepada penumpang https://t.co/b7KjJS9bJy,positive
Gempa Garut KCIC Jamin Infrastruktur Whoosh Tahan hingga Magnitudo 8 https://t.co/juYb2Q9lfj,positive
Asyikkk lebih nyaman nih jalur paling sering dipakai selain Whoosh. Terima kasih pengumumannya Mimin ,positive
Whoosh Beroperasi Normal Pascagempa Garut Tak Ada Perubahan Jadwal https://t.co/LGylgJEbmL,positive
KCIC Pastikan Kereta Cepat Whoosh Tetap Beroperasi Normal Seusai Gempa Garut https://t.co/CfdwrRSmxB #beritasatu #news #berita,positive
Gempa Garut KCIC Jamin Infrastuktur Whoosh Tahan hingga Magnitudo 8 https://t.co/hFdkziUZ1q,positive
Petugas Kereta Cepat Whoosh Kembalikan Amplop Penumpang yang Tertinggal Berisi Uang Rp50 Juta https://t.co/ZR1IFlKZ6y,positive
Pasca Gempa Garut Operasional Whoosh Tetap Normal #Gempa #gempagarut #earthquake #Garut #BMKG https://t.co/qX45QEOJ4u,positive
KCIC Pastikan Operasional Whoosh Tak Terdampak Gempa Garut #KCIC #Whoosh #GempaGarut #PTKCIC @KeretaCepatID https://t.co/vRQvewltO9,positive
Harga jual tiket juga di bawah rencana awal Rp 300 ribu per orang. KCIC membanderol tiket Whoosh dengan skema harga dinamis dari Rp 150 ribu hingga Rp 250 ribu tergantung waktu perjalanan. https://t.co/NfDnm57ZTd,positive
Kalo ini rugi saya rela. Hidup saya berubah lebih baik dan bahagia sedjak ada Whoosh.,positive
Keempat stasiun Kereta Cepat Whoosh akan segera lengkap dengan beroperasinya Stasiun Karawang pada awal tahun depan. Nantinya Whoosh memiliki rute Stasiun Halim-Karawang-Padalarang-Tegalluar. Penambahan ini membuat jarak tempuh antar stasiun menjadi lebih dekat. #SmartNews https://t.co/1vgd3m1Kxv,positive
mnrt gw whoosh whoosh ini udh jd adiksi,positive
Kemenhub: Stasiun Karawang Bikin Kereta Cepat WHOOSH Makin Ramai https://t.co/vnEPBBLVLO https://t.co/miR6PI4kjz,positive
KCIC Atur Strategi demi Capai Target Jumlah Penumpang Whoosh https://t.co/2RztM0WgNg,positive
berkisar 15 ribu - 16 ribu orang pada hari kerja dan 18 ribu penumpang pada akhir pekan yang kini melonjak sekitar 30 persen. Pihaknya mengeklaim banyak wisatawan dan keluarga memilih Whoosh sebagai moda transportasi utama untuk berwisata. Terlebih Whoosh menawarkan bundling,positive
9 Bulan Operasi Masinis RI Kemudikan Whoosh Kecepatan 350 Km per Jam https://t.co/VFnApw0w7j,positive
Salam dari whoosh. Menuju Bandung itu harus dengan hati ceria. Bukan galau apalagi gelisah karena luntang lantung tanpa tujuan. Kali ini bersama Mas Ketum Pak Menteri kita @AgusYudhoyono dan para sahabat @jovanltconsina https://t.co/LthbYJ32mM,positive
bbrp minggu lalu rela berangkat pagi naik whoosh untuk sarapan ke-bm-an ini~ sarapan yg enduuuul bgt dan pulang kepikiran nyesel knp ngga takeaway kimchi dan CREAMY GYUTAN Kozikaya Izakaya Bandung cc: @kimddaeri thank you chef enak bgt! https://t.co/83uVU9PXuQ,positive
Baru tau Padalarang Whoosh bagus juga https://t.co/FfId4pPVtw,positive
Terlepas dr ramai soal KTP dicatut ternyata ada kado HUT Kemerdekaan RI ke-79 dari KCIC dmn masinis Indonesia utk pertama kalinya mengoperasikan perjalanan Whoosh berpenumpang didampingi tim ahli Cina. Setiap hari ada 2 perjalanan Whoosh yg dikemudikan oleh masinis Indonesia https://t.co/I65YQmDNHG,positive
Mau testimoni naik whoosh. Kemaren lupa mau lanjutin twit ini. Ini aku cek di aplikasi engga bisa detect GPS nya. Saking cepatnya https://t.co/Gn7s7Ofrgu,positive
Patut dinanti #ikn #nusantara #mrt #whoosh #infografis #politikindonesia #beritapolitik #beritapolitikterkini https://t.co/R1WPa8tZes,positive
Terima kasih loh whoosh sudah antar pak Anies Baswedan Jakarta-Bandung tepat waktu https://t.co/0RTca6Mtj6,positive
Whoosh cepet banget sih cuma setengah jam aja nyampe dari Jakarta ke Bandung.,positive
Terima kasih Whoosh!,positive
Inilah gunanya whoosh,positive
This weekend mau ke Bandung so excited! Naik Whoosh pula. Baru 3x ini ke Bandung seumur hidup. Lbh banyak cap gw di Changi drpd di Bdg. (Baca: kerja bukan plesir),positive
Ngga sabar pengen ke jakarta lagi akkkkkk whoosh I'm coming,positive
terima kasih whoosh ,positive
pengen naik whoosh ke bdg terus ke paskal makan bbq mountain boys terus pulang lagi,positive
Inilah fungsi dari @KeretaCepatID yang sebenarnya. ngejar Waktu ya nge Whoosh ngejar kenangan ya nge Parahyangan nya @KAI121. konsumen bebas milih.,positive
Jadi begini walau Whoosh diremehkan tp sukses jadi magnet wisatawan asing dtg ke Indonesia. Paling tinggi: 1. Malaysia 2. China 3. Singapura 4. Jepang 5. Australia Secara benua 1. Asia 2. Eropa 3. Amerika Utara 4. Oseania 5. Afrika 6. Amerika Selatan https://t.co/9gzKX3JBee,positive
emng paling enak naik whoosh be bdg walopun gajadi nyalon ,positive
@salmamenn saya menyesal Pangandaran - Bandung naik mobil kena macet total 9 jam (tapi mampir makan sambel Bu Eti) kalau naik Susi Air ke Halim lalu Whoosh dari Halim ke Bandung total ga sampe 3 jam,positive
Masinis Indonesia sukses mengemudikan Whoosh berpenumpang untuk pertama kalinya. Hal ini sebagai bagian dari persembahan hadiah untuk HUT Kemerdekaan RI ke-79. https://t.co/O9JVmMmSbF,positive
Naik kereta atau whoosh membuat pulang ke Bekasi lebih bear-able. Beberapa kali pakai travel karena lewat MBZ putar Jatiwaringin dan baru ke Bekasi habis waktu 4 jam. So sad padahal suka banget naik travel,positive
@anaknyaslamet kalo harganya sama ya mending whoosh wkwk kecuali kalo travelnya jauh lebih murah,positive
Pengembalian dana pembatalan tiket Whoosh kini bisa dilakukan di hari yang sama. https://t.co/dU694aY5xg,positive
 Kalau naik Whoosh yang sudah jelas itu lebih cepat dan nggak usah capek-capek nyetir. https://t.co/nN5ZUwTNpQ,positive
@pelintas_senja baru nyadar bisa jadi ke Bandung pun lebih cepet balik ke Jakarta Halim dulu lalu lanjut Whoosh ke Bandung ,positive
Akhirnya nyobain whoosh whoosh whoosh yesss~ https://t.co/7xmRm103Ji,positive
Bayar sekali keliling Jakarta-Bandung berkali-kali! Halo sobat #Whoosh! Kabar gembira buat kamu yang sering otw Jakarta-Bandung karena Whoosh kini telah meluncurkan Frequent Whoosher Card Tinggal dateng bawa cardmu ke loket gak perlu mikirin jadwal mana yang paling https://t.co/ZgugK8axVj,positive
Akhirnya berkesempatan nyobain sistem kereta cepat kakaknya Whoosh di China Nyobain trip pendek aja dari Changledong ke Fuzhou naik kereta CRH370A di line Pingtan - Fuzhou dengan top speed 200 km/h Interiornya mirip banget sama Whoosh Tapi skala stasiun HSR di China jauh lebih https://t.co/TqsfygQkUA,positive
Harga jadinya cuma 175 ribu per perjalanan Kartu ini cocok untuk - orang yang rutin pakai Whoosh - orang yang pengen naik Whoosh dengan harga murah,positive
Setelah TGV Frecciarossa dan Whoosh akhirnya berkesempatan nyobain KTX (Korea Train Xpress) bhs lokalnya Hanguk Gosok Cheoldo 🇰🇷 https://t.co/rRk2POQiEp,positive
